,Rank,School,Rating,Win %,Adj win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Logo Match
0,1,Alabama,128.92440911604416,92.3076923076923,90.54945054945055,16.0,14.0,1.0,22.76923076923077,23.96312591526692,1.0,Alabama
1,2,Georgia,125.67851833705427,85.71428571428571,82.44897959183673,3.0,16.0,6.0,18.357142857142858,24.5448558675825,2.0,Georgia
2,3,Ohio State,124.85402573291033,85.71428571428571,87.0204081632653,21.0,5.0,10.0,22.142857142857142,22.022282093354143,5.0,Ohio_State
3,4,Wisconsin,123.6598814189528,92.85714285714286,90.89795918367346,38.0,23.0,2.0,19.857142857142858,22.549074269919736,7.0,Wisconsin
4,5,Clemson,123.13376164846514,84.61538461538461,82.5054945054945,2.0,40.0,3.0,16.76923076923077,23.951936233995475,4.0,Clemson
5,6,UCF,122.27436533060141,100.0,100.0,70.0,1.0,43.0,21.5,19.274365330601416,6.0,UCF
6,7,Penn State,120.93450283303174,84.61538461538461,83.56043956043956,32.0,6.0,5.0,24.615384615384617,23.350439604665596,8.0,Penn_State
7,8,Oklahoma,119.92521055419272,85.71428571428571,84.08163265306123,36.0,3.0,57.0,18.071428571428573,20.01624207287515,3.0,Oklahoma
8,9,Auburn,116.50515115516917,69.23076923076923,67.12087912087912,6.0,18.0,12.0,15.461538461538462,20.9818273593426,10.0,Auburn
9,10,Notre Dame,116.43093041979076,76.92307692307693,76.21978021978022,8.0,19.0,27.0,12.76923076923077,20.328604942481604,11.0,Notre_Dame
10,11,Washington,108.64293958091969,75.0,71.57142857142857,62.0,20.0,7.0,17.166666666666668,18.118136442121937,16.0,Washington
11,12,Oklahoma State,108.54588999191441,76.92307692307693,76.21978021978022,55.0,4.0,76.0,15.615384615384615,15.100416421945136,14.0,Oklahoma_State
12,13,Miami,107.87432999504209,75.0,68.14285714285715,4.0,64.0,29.0,6.416666666666667,15.428782401588686,13.0,Miami
13,14,Michigan State,107.8040838921227,76.92307692307693,76.92307692307693,17.0,92.0,18.0,4.538461538461538,11.908749843688687,15.0,Michigan_State
14,15,TCU,107.53687571467137,76.92307692307693,73.4065934065934,31.0,39.0,20.0,10.846153846153847,15.097579107155358,9.0,TCU
