,Rank,School,Rating,Win %,Adj Win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Change,Logo Match
0,1,Oregon (13-0),128.1732086046418,100.0,100.0,50.0,7.0,9.0,18.833333333333332,21.173208604641772,1.0,0,Oregon
1,2,Ohio State (10-2),122.36322469744499,83.33333333333334,81.82222222222222,48.0,12.0,1.0,24.583333333333332,22.348297506134507,6.0,1,Ohio_State
2,3,Notre Dame (11-1),121.72659663138053,91.66666666666666,94.12222222222222,61.0,3.0,3.0,26.25,21.55353523252642,3.0,-1,Notre_Dame
3,4,Georgia (11-2),119.41412964486621,84.61538461538461,83.71111111111111,8.0,30.0,26.0,10.083333333333334,16.478158354612635,2.0,2,Georgia
4,5,Texas (11-2),114.50539017150658,84.61538461538461,82.52307692307693,52.0,24.0,2.0,21.153846153846153,19.089269906977265,4.0,-1,Texas
5,6,Alabama (9-3),114.08037835392898,75.0,72.10909090909091,20.0,18.0,10.0,15.818181818181818,18.37203954829367,11.0,3,Alabama
6,7,Indiana (11-1),113.63360700992696,91.66666666666666,89.05454545454545,68.0,2.0,6.0,24.545454545454547,16.974923447599515,9.0,1,Indiana
7,8,SMU (11-2),113.55963905486333,84.61538461538461,83.33333333333334,58.0,8.0,28.0,14.833333333333334,17.80887351211197,12.0,-3,SMU
8,9,Ole Miss (9-3),113.0019828635157,75.0,72.93333333333332,60.0,18.0,5.0,18.818181818181817,17.951340939358186,16.0,1,Ole_Miss
9,10,Penn State (11-2),112.13937593738297,84.61538461538461,81.82564102564102,59.0,24.0,7.0,17.23076923076923,16.854542588711592,5.0,-3,Penn_State
10,11,South Carolina (9-3),111.77870955816347,75.0,76.64242424242424,12.0,48.0,11.0,11.0,17.327769124502296,14.0,2,South_Carolina
11,12,Arizona State (11-2),111.35488169610628,84.61538461538461,86.35897435897436,57.0,27.0,22.0,11.76923076923077,13.438717044594222,10.0,6,Arizona_State
12,13,Miami (10-2),110.91807687933353,83.33333333333334,78.52121212121213,62.0,1.0,64.0,17.818181818181817,16.767605012714625,15.0,-1,Miami
13,14,BYU (10-2),110.32201645026248,83.33333333333334,78.52121212121212,43.0,43.0,20.0,9.090909090909092,14.009771475436818,17.0,-3,BYU
14,15,Boise State (12-1),109.49610421119895,92.3076923076923,94.12222222222222,87.0,4.0,35.0,15.083333333333334,11.166933125466286,8.0,0,Boise_State
15,16,Tennessee (10-2),108.47626363950397,83.33333333333334,81.4060606060606,64.0,15.0,4.0,19.454545454545453,13.148389099091778,7.0,0,Tennessee
16,17,Colorado (9-3),108.25451977234913,75.0,74.16969696969697,44.0,13.0,25.0,13.181818181818182,15.57368920339364,20.0,0,Colorado
17,18,Louisville (8-4),105.05279800819,66.66666666666666,64.87272727272727,16.0,16.0,65.0,8.909090909090908,15.941315572059139,NR,1,Louisville
18,19,Clemson (10-3),108.0920730175467,76.92307692307693,75.18888888888888,39.0,17.0,39.0,11.25,13.931684555272234,13.0,1,Clemson
19,20,Iowa State (10-3),104.6927853384628,76.92307692307693,71.03333333333333,34.0,36.0,42.0,7.916666666666667,11.859889157134015,18.0,-6,Iowa_State
20,21,LSU (8-4),104.09703418155279,66.66666666666666,64.04848484848486,3.0,55.0,48.0,4.0,13.008523325117121,NR,0,LSU
21,22,Baylor (8-4),102.33438250856437,66.66666666666666,70.64242424242425,38.0,21.0,76.0,6.454545454545454,11.623381471555067,NR,1,Baylor
22,23,Iowa (8-4),101.10477612406545,66.66666666666666,66.52121212121212,53.0,61.0,13.0,8.272727272727273,11.951942453443174,NR,3,Iowa
23,24,Texas A&M (8-4),100.03538304031927,66.66666666666666,61.98787878787879,26.0,52.0,30.0,6.181818181818182,11.612719961060902,NR,6,Texas_A_M
24,25,Syracuse (9-3),99.99226726405217,75.0,73.34545454545454,46.0,31.0,93.0,1.7272727272727273,5.888429008845263,22.0,3,Syracuse
25,26,Kansas State (8-4),99.76081356679862,66.66666666666666,61.163636363636364,27.0,51.0,44.0,5.363636363636363,11.676381713483487,NR,1,Kansas_State
26,27,Illinois (9-3),99.11496658443441,75.0,73.34545454545454,49.0,59.0,52.0,3.3636363636363638,7.10159480859387,21.0,2,Illinois
27,28,Army (11-2),98.84277704014009,84.61538461538461,78.8,113.0,39.0,8.0,13.5,4.909153860418602,19.0,-4,Army
28,29,Missouri (9-3),98.65852093253842,75.0,72.10909090909091,55.0,60.0,27.0,5.181818181818182,7.062429722329177,23.0,2,Missouri
29,30,UNLV (10-3),98.4288087114028,76.92307692307693,73.3,84.0,26.0,35.0,10.666666666666666,6.376631809982252,24.0,-8,UNLV
30,31,Texas Tech (8-4),98.21370373653905,66.66666666666666,65.28484848484848,40.0,5.0,111.0,4.363636363636363,7.036976496635722,NR,2,Texas_Tech
31,32,Ohio (10-3),98.00917525671116,76.92307692307693,79.72222222222221,115.0,41.0,12.0,11.5,3.722239609550661,NR,8,Ohio
32,33,Florida (7-5),97.96808817471879,58.333333333333336,58.872727272727275,1.0,69.0,68.0,0.45454545454545453,9.559061755181006,NR,4,Florida
33,34,TCU (8-4),97.78820489167684,66.66666666666666,68.16969696969697,51.0,29.0,84.0,3.5454545454545454,7.618920876658898,NR,1,TCU
34,35,Marshall (10-3),97.64021319922556,76.92307692307693,79.72222222222221,82.0,37.0,57.0,6.0,3.331770341412085,NR,6,Marshall
35,36,Michigan (7-5),97.45056439492177,58.333333333333336,60.41111111111112,17.0,100.0,18.0,1.75,7.133514354772206,NR,0,Michigan
36,37,Minnesota (7-5),97.0480652147363,58.333333333333336,58.04848484848485,37.0,84.0,16.0,5.2727272727272725,10.037546595327733,NR,2,Minnesota
37,38,Navy (9-3),96.81993491815872,75.0,70.46060606060605,90.0,38.0,33.0,8.181818181818182,5.676444457260568,NR,6,Navy
38,39,Memphis (10-2),96.976970738025,83.33333333333334,83.05454545454545,117.0,14.0,58.0,9.909090909090908,1.5845737264290705,25.0,-5,Memphis
39,39,Tulane (9-4),96.55763763643347,69.23076923076923,66.66666666666666,86.0,10.0,23.0,14.583333333333334,6.858591781216206,NR,-14,Tulane
40,41,Duke (9-3),96.2038951840101,75.0,72.93333333333332,65.0,61.0,47.0,3.0,4.102495591771122,NR,-3,Duke
41,42,Virginia Tech (6-6),95.38100526545412,50.0,52.644444444444446,36.0,46.0,37.0,6.916666666666667,11.9756929263282,NR,0,Virginia_Tech
42,43,Georgia Tech (7-5),95.00055950531885,58.333333333333336,56.81212121212121,19.0,69.0,71.0,-0.09090909090909091,7.1211706448182515,NR,0,Georgia_Tech
43,44,USC (6-6),94.78049454657011,50.0,50.75555555555555,25.0,44.0,45.0,6.25,11.107051376740277,NR,1,USC
44,45,Louisiana (10-3),93.130198528108,76.92307692307693,72.92222222222223,114.0,28.0,55.0,8.0,0.7802787045527761,NR,-13,Louisiana
45,46,Kansas (5-7),92.30313869441355,41.66666666666667,43.163636363636364,6.0,55.0,80.0,-0.09090909090909091,10.176054743735705,NR,1,Kansas
46,47,James Madison (8-4),91.72098565276774,66.66666666666666,60.75151515151516,118.0,11.0,29.0,13.636363636363637,3.891360760230892,NR,1,James_Madison
47,48,Jacksonville State (9-4),91.31769242263906,69.23076923076923,74.1128205128205,131.0,9.0,67.0,10.846153846153847,-1.5804005842250035,NR,8,Jacksonville_State
48,49,Boston College (7-5),90.82824141845255,58.333333333333336,56.39999999999999,45.0,64.0,69.0,0.5454545454545454,4.809615953210371,NR,0,Boston_College
49,50,Rutgers (7-5),90.36739041405117,58.333333333333336,54.33939393939394,56.0,67.0,65.0,1.0909090909090908,5.252651074974526,NR,0,Rutgers
50,51,Texas State (7-5),89.60368508772845,58.333333333333336,55.987878787878785,110.0,5.0,48.0,13.363636363636363,3.586311174080935,NR,0,Texas_State
51,52,Miami_OH (8-5),89.28831369541254,61.53846153846154,66.24615384615385,94.0,98.0,15.0,3.6923076923076925,-1.0297986723314683,NR,-6,Miami_OH
52,53,Nebraska (6-6),89.18228162333257,50.0,42.981818181818184,28.0,97.0,24.0,1.5454545454545454,8.908088569342148,NR,0,Nebraska
53,54,Georgia Southern (8-4),89.08107243686321,66.66666666666666,66.93333333333334,73.0,61.0,83.0,-1.6363636363636365,-1.5139264348198243,NR,-2,Georgia_Southern
54,55,Bowling Green (7-5),87.95261021553897,58.333333333333336,58.872727272727275,95.0,75.0,19.0,4.909090909090909,0.40843406810769967,NR,2,Bowling_Green
55,56,Washington State (8-4),87.89606142406122,66.66666666666666,59.51515151515152,107.0,21.0,78.0,5.818181818181818,0.0719883863966162,NR,-1,Washington_State
56,57,Northern Illinois (7-5),87.77649859890438,58.333333333333336,55.987878787878785,99.0,106.0,14.0,2.8181818181818183,-1.994156205548414,NR,2,Northern_Illinois
57,58,Sam Houston (9-3),87.68642240822996,75.0,75.94444444444444,130.0,94.0,17.0,3.1666666666666665,-6.069129117403895,NR,0,Sam_Houston
58,59,Oklahoma (6-6),87.60341066368366,50.0,44.63030303030303,7.0,110.0,31.0,-1.0909090909090908,5.956483657084136,NR,-5,Oklahoma
59,60,Vanderbilt (6-6),87.53977450431128,50.0,44.21818181818182,14.0,85.0,62.0,-1.0909090909090908,6.124471128847315,NR,0,Vanderbilt
60,61,UConn (8-4),86.93161265544971,66.66666666666666,67.34545454545454,128.0,47.0,54.0,5.090909090909091,-4.037696547859886,NR,0,UConn
61,62,Colorado State (8-4),86.52365119726765,66.66666666666666,68.16969696969697,103.0,89.0,60.0,-1.1818181818181819,-4.778066204680597,NR,0,Colorado_State
